name,model,manufacturer,manufacturer_qid,wing_class,mass_dry_gross_kg,max_water_ballast_l,speed1_kmh,sink1_ms,speed2_kmh,sink2_ms,speed3_kmh,sink3_ms,wing_area_m2,wing_loading_kg_m2,flaps_mass_kg,flaps_count,flaps,span_m,span_source,fai_class,wikidata_qid,easa_tcds,easa_url
DG-300,DG-300,DG Flugzeugbau,Q449793,glider,340.0,65.0,95.0,-0.65,140.0,-1.29,160.0,-1.84,10.27,33.11,,,,15,easa,,Q1153381,EASA.A.239,https://www.easa.europa.eu/en/downloads/7220/en
DG-400 (15m),DG-400,DG Flugzeugbau,Q449793,glider,440.0,90.0,115.0,-0.76,160.53,-1.22,210.22,-2.3,10.0,44.0,,,,15,easa,,Q1153378,EASA.A.239,https://www.easa.europa.eu/en/downloads/7220/en
DG-400 (17m),DG-400,DG Flugzeugbau,Q449793,glider,444.0,90.0,118.28,-0.68,163.77,-1.15,198.35,-1.8,10.57,42.01,,,,17,name,,Q1153378,,
DG-500 PAS,DG-500,DG Flugzeugbau,Q449793,glider,660.0,160.0,115.5,-0.72,152.16,-1.28,190.22,-2.3,18.29,36.09,,,,22,easa,open,Q1153385,EASA.A.233,https://www.easa.europa.eu/en/downloads/7224/en
DG-500 PIL,DG-500,DG Flugzeugbau,Q449793,glider,570.0,160.0,107.5,-0.66,141.33,-1.19,176.66,-2.1,18.29,31.16,,,,22,easa,open,Q1153385,EASA.A.233,https://www.easa.europa.eu/en/downloads/7224/en
DG-500M PAS,DG-500M,DG Flugzeugbau,Q449793,glider,750.0,100.0,121.6,-0.75,162.12,-1.37,202.66,-2.5,18.29,41.01,,,,22,easa,open,Q1153385,EASA.A.233,https://www.easa.europa.eu/en/downloads/7224/en
DG-500M PIL,DG-500M,DG Flugzeugbau,Q449793,glider,659.0,100.0,115.4,-0.71,152.01,-1.28,190.02,-2.3,18.29,36.03,,,,22,easa,open,Q1153385,EASA.A.233,https://www.easa.europa.eu/en/downloads/7224/en
DG-600_15m,DG-600,DG Flugzeugbau,Q449793,glider,327.0,180.0,100.0,-0.6,120.0,-0.76,150.0,-1.19,10.95,29.86,,,,15,easa,,Q990451,EASA.A.239,https://www.easa.europa.eu/en/downloads/7220/en
DG-800 15m,DG-800,DG Flugzeugbau,Q449793,glider,468.0,120.0,133.9,-0.88,178.87,-1.53,223.59,-2.5,10.68,43.82,,,,15,easa,,Q1153389,EASA.A.239,https://www.easa.europa.eu/en/downloads/7220/en
DG-800 18m Wnglts,DG-800,DG Flugzeugbau,Q449793,glider,472.0,120.0,106.0,-0.62,171.75,-1.47,214.83,-2.4,11.81,39.97,,,,18,name,18m,Q1153389,,
DG1000-20M (PAS),DG1000-20M,DG Flugzeugbau,Q449793,glider,613.0,160.0,106.0,-0.62,153.0,-1.397,200.0,-3.181,17.51,35.01,,,,20,easa,,Q489299,EASA.A.072,https://www.easa.europa.eu/en/downloads/7380/en
DG1000-20M (PIL),DG1000-20M,DG Flugzeugbau,Q449793,glider,490.0,160.0,100.0,-0.59,120.0,-0.86,150.0,-1.65,17.51,27.98,,,,20,easa,,Q489299,EASA.A.072,https://www.easa.europa.eu/en/downloads/7380/en
