name,kind,elev_m,lon,lat
Kompasberg,mountain,2504,24.53078,-31.76949
Kongkoerh,mountain,7649,75.30986,38.5901
Korab,mountain,2764,20.54099,41.78701
Koryakskaya Sopka,mountain,3456,158.71952,53.33492
Krakatau,mountain,813,105.42275,-6.10209
Kuh-e Dinar,mountain,4409,51.43981,30.95007
Kuh-e Fareghan,mountain,3240,56.34998,27.89008
Kuh-e Garin,mountain,3630,48.48,33.96009
Kuh-e Haji Ebrahim,mountain,3587,45.00624,36.54527
Kuh-e Hezar,mountain,4465,57.27228,29.5116
Kuh-e Jang Qal'eh,mountain,4171,64.18837,33.117
Kuh-e Nay Band,mountain,2960,57.37479,32.45009
Kuh-e Ruzeh,mountain,2941,58.10071,37.80408
Kuh-e Siah Khvani,mountain,3314,59.04991,36.27998
Kuh-e Taftan,mountain,3941,61.13177,28.62969
Kuju-san,mountain,1788,131.25002,33.08008
Kyrkjeskipet Peak,mountain,3085,6.81835,-71.8696
La Soufrière,mountain,1467,-61.66004,16.04
La Soufrière,mountain,1234,-61.18006,13.34997
Lalla Khedidja,mountain,2308,4.22909,36.4571
Laotzyunshan,mountain,4500,99.61719,26.87331
Lata Mountain,mountain,966,-169.48571,-14.24455
Lenina,mountain,150,37.50997,55.68999
Lesatima,mountain,4001,36.62362,-0.32481
Liushi Shan,mountain,7167,80.92623,35.32254
Loi Leng,mountain,2673,98.09071,22.65994
Loma Mansa,mountain,1945,-11.08853,9.24267
Longnawan,mountain,2988,115.14662,1.81425
Longs Peak,mountain,4346,-105.62001,40.25508
Loolmalasin,mountain,3682,35.83954,-3.04267
Lunpo Gangri,mountain,7095,84.61002,29.83009
Mafadi,mountain,3451,29.36,-29.20002
Magazine Mountain,mountain,839,-93.64358,35.18832
Magen Gangri,mountain,6282,99.46661,34.80011
Maglic,mountain,2387,18.74001,43.27996
Mahendra Giri,mountain,1501,84.35685,18.97429
Maja e Jezercë,mountain,2694,19.80982,42.44002
Maotou Shan,mountain,3306,100.63005,24.52009
Maromokotro,mountain,2876,48.97003,-14.01997
Masif des Bongos,mountain,1400,22.35998,8.6
Matterhorn,mountain,4478,7.72958,45.93817
Mauga Silisili,mountain,1858,-172.49004,-13.61008
Mauna Kea,mountain,4205,-155.46814,19.82049
